bits,range_min,range_max,address,btc_value,hash160_compressed,public_key,private_key,solve_date
71,400000000000000000,7fffffffffffffffff,1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU,7.1,f6f5431d25bbf7b12e8add9af5e3475c44a0a5b8,,,
72,800000000000000000,ffffffffffffffffff,1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR,7.2,bf7413e8df4e7a34ce9dc13e2f2648783ec54adb,,,
73,1000000000000000000,1ffffffffffffffffff,12VVRNPi4SJqUTsp6FmqDqY5sGosDtysn4,7.3,105b7f253f0ebd7843adaebbd805c944bfb863e4,,,
74,2000000000000000000,3ffffffffffffffffff,1FWGcVDK3JGzCC3WtkYetULPszMaK2Jksv,7.4,9f1adb20baeacc38b3f49f3df6906a0e48f2df3d,,,
76,8000000000000000000,fffffffffffffffffff,1DJh2eHFYQfACPmrvpyWc8MSTYKh7w9eRF,7.6,86f9fea5cdecf033161dd2f8f8560768ae0a6d14,,,
77,10000000000000000000,1fffffffffffffffffff,1Bxk4CQdqL9p22JEtDfdXMsng1XacifUtE,7.7,783c138ac81f6a52398564bb17455576e8525b29,,,
78,20000000000000000000,3fffffffffffffffffff,15qF6X51huDjqTmF9BJgxXdt1xcj46Jmhb,7.8,35003c3ef8759c92092f8488fca59a042859018c,,,
79,40000000000000000000,7fffffffffffffffffff,1ARk8HWJMn8js8tQmGUJeQHjSE7KRkn2t8,7.9,67671d5490c272e3ab7ddd34030d587738df33da,,,
81,100000000000000000000,1ffffffffffffffffffff,15qsCm78whspNQFydGJQk5rexzxTQopnHZ,8.1,351e605fac813965951ba433b7c2956bf8ad95ce,,,
82,200000000000000000000,3ffffffffffffffffffff,13zYrYhhJxp6Ui1VV7pqa5WDhNWM45ARAC,8.2,20d28d4e87543947c7e4913bcdceaa16e2f8f061,,,
83,400000000000000000000,7ffffffffffffffffffff,14MdEb4eFcT3MVG5sPFG4jGLuHJSnt1Dk2,8.3,24cef184714bbd030833904f5265c9c3e12a95a2,,,
84,800000000000000000000,fffffffffffffffffffff,1CMq3SvFcVEcpLMuuH8PUcNiqsK1oicG2D,8.4,7c99ce73e19f9fbfcce4825ae88261e2b0b0b040,,,
86,2000000000000000000000,3fffffffffffffffffffff,1K3x5L6G57Y494fDqBfrojD28UJv4s5JcK,8.6,c60111ed3d63b49665747b0e31eb382da5193535,,,
87,4000000000000000000000,7fffffffffffffffffffff,1PxH3K1Shdjb7gSEoTX7UPDZ6SH4qGPrvq,8.7,fbc708d671c03e26661b9c08f77598a529858b5e,,,
88,8000000000000000000000,ffffffffffffffffffffff,16AbnZjZZipwHMkYKBSfswGWKDmXHjEpSf,8.8,38a968fdfb457654c51bcfc4f9174d6ee487bb41,,,
89,10000000000000000000000,1ffffffffffffffffffffff,19QciEHbGVNY4hrhfKXmcBBCrJSBZ6TaVt,8.9,5c3862203d1e44ab3af441503e22db97b1c5097e,,,
91,40000000000000000000000,7ffffffffffffffffffffff,1EzVHtmbN4fs4MiNk3ppEnKKhsmXYJ4s74,9.1,9978f61b92d16c5f1a463a0995df70da1f7a7d2a,,,
92,80000000000000000000000,fffffffffffffffffffffff,1AE8NzzgKE7Yhz7BWtAcAAxiFMbPo82NB5,9.2,6534b31208fe6e100d29f9c9c75aac8bf06fbb38,,,
93,100000000000000000000000,1fffffffffffffffffffffff,17Q7tuG2JwFFU9rXVj3uZqRtioH3mx2Jad,9.3,463013cd41279f2fd0c31d0a16db3972bfffac8d,,,
94,200000000000000000000000,3fffffffffffffffffffffff,1K6xGMUbs6ZTXBnhw1pippqwK6wjBWtNpL,9.4,c6927a00970d0165327d0a6db7950f05720c295c,,,
96,800000000000000000000000,ffffffffffffffffffffffff,15ANYzzCp5BFHcCnVFzXqyibpzgPLWaD8b,9.6,2da63cbd251d23c7b633cb287c09e6cf888b3fe4,,,
97,1000000000000000000000000,1ffffffffffffffffffffffff,18ywPwj39nGjqBrQJSzZVq2izR12MDpDr8,9.7,578d94dc6f40fff35f91f6fba9b71c46b361dff2,,,
98,2000000000000000000000000,3ffffffffffffffffffffffff,1CaBVPrwUxbQYYswu32w7Mj4HR4maNoJSX,9.8,7eefddd979a1d6bb6f29757a1f463579770ba566,,,
99,4000000000000000000000000,7ffffffffffffffffffffffff,1JWnE6p6UN7ZJBN7TtcbNDoRcjFtuDWoNL,9.9,c01bf430a97cbcdaedddba87ef4ea21c456cebdb,,,
101,10000000000000000000000000,1fffffffffffffffffffffffff,1CKCVdbDJasYmhswB6HKZHEAnNaDpK7W4n,10.1,7c1a77205c03b9909663b2034faa0b544e6bc96b,,,
102,20000000000000000000000000,3fffffffffffffffffffffffff,1PXv28YxmYMaB8zxrKeZBW8dt2HK7RkRPX,10.2,f72b812932f6d7102233971d65cec0a22b89e136,,,
103,40000000000000000000000000,7fffffffffffffffffffffffff,1AcAmB6jmtU6AiEcXkmiNE9TNVPsj9DULf,10.3,695fd6dcf33f47166b25de968b2932b351b0afc4,,,
104,80000000000000000000000000,ffffffffffffffffffffffffff,1EQJvpsmhazYCcKX5Au6AZmZKRnzarMVZu,10.4,93022af9a38f3ebb0c3f15dd1c83f8fadaf64e74,,,
106,200000000000000000000000000,3ffffffffffffffffffffffffff,18KsfuHuzQaBTNLASyj15hy4LuqPUo1FNB,10.6,505aaa63a5e209dfb90cee683a8e227a8c278e47,,,
107,400000000000000000000000000,7ffffffffffffffffffffffffff,15EJFC5ZTs9nhsdvSUeBXjLAuYq3SWaxTc,10.7,2e644e46b042ffa86da35c54d7275f1abe6d4911,,,
108,800000000000000000000000000,fffffffffffffffffffffffffff,1HB1iKUqeffnVsvQsbpC6dNi1XKbyNuqao,10.8,b166c44f12c7fc565f37ff6288ee64e0f0ec9a0b,,,
109,1000000000000000000000000000,1fffffffffffffffffffffffffff,1GvgAXVCbA8FBjXfWiAms4ytFeJcKsoyhL,10.9,aeb0a0197442d4ade8ef41442d557b0e22b85ac0,,,
111,4000000000000000000000000000,7fffffffffffffffffffffffffff,1824ZJQ7nKJ9QFTRBqn7z7dHV5EGpzUpH3,11.1,4cfc43fe12a330c8164251e38c0c0c3c84cf86f6,,,
112,8000000000000000000000000000,ffffffffffffffffffffffffffff,18A7NA9FTsnJxWgkoFfPAFbQzuQxpRtCos,11.2,4e81efec43c5195aeca0e3877664330418b8e48e,,,
113,10000000000000000000000000000,1ffffffffffffffffffffffffffff,1NeGn21dUDDeqFQ63xb2SpgUuXuBLA4WT4,11.3,ed673389e4b12925316f9166d56d701829e53cf8,,,
114,20000000000000000000000000000,3ffffffffffffffffffffffffffff,174SNxfqpdMGYy5YQcfLbSTK3MRNZEePoy,11.4,42773005f9594cd16b10985d428418acb7f352ec,,,
116,80000000000000000000000000000,fffffffffffffffffffffffffffff,1MnJ6hdhvK37VLmqcdEwqC3iFxyWH2PHUV,11.6,e3f381c34a20da049779b44cae0417c7fb2898d0,,,
117,100000000000000000000000000000,1fffffffffffffffffffffffffffff,1KNRfGWw7Q9Rmwsc6NT5zsdvEb9M2Wkj5Z,11.7,c97f9591e28687be1c4d972e25be7c372a3221b4,,,
118,200000000000000000000000000000,3fffffffffffffffffffffffffffff,1PJZPzvGX19a7twf5HyD2VvNiPdHLzm9F6,11.8,f4a4e1c11a5bbbd2fc139d221825407c66e0b8b4,,,
119,400000000000000000000000000000,7fffffffffffffffffffffffffffff,1GuBBhf61rnvRe4K8zu8vdQB3kHzwFqSy7,11.9,ae6804b35c82f47f8b0a42d8c5e514fe5ef0a883,,,
121,1000000000000000000000000000000,1ffffffffffffffffffffffffffffff,1GDSuiThEV64c166LUFC9uDcVdGjqkxKyh,12.1,a6e4818537e42f7b3f021daa810367dad4dda16f,,,
122,2000000000000000000000000000000,3ffffffffffffffffffffffffffffff,1Me3ASYt5JCTAK2XaC32RMeH34PdprrfDx,12.2,e263b62ea294b9650615a13b926e75944c823990,,,
123,4000000000000000000000000000000,7ffffffffffffffffffffffffffffff,1CdufMQL892A69KXgv6UNBD17ywWqYpKut,12.3,7fa4515066ba6905f894b2078f9af7b1379169cf,,,
124,8000000000000000000000000000000,fffffffffffffffffffffffffffffff,1BkkGsX9ZM6iwL3zbqs7HWBV7SvosR6m8N,12.4,75f74467ce7214f1767406d5ed12012aa523c48e,,,
